season,week,celebrity_name,estimated_fan_vote,vote_certainty_std
1,1,John O'Hurley,0.17881961350145267,0.17621305115383457
1,1,Rachel Hunter,0.17675185671769306,0.1756488580234302
1,1,Joey McIntyre,0.16924002675324493,0.17287788000843549
1,1,Evander Holyfield,0.15719517289373308,0.16909456294569836
1,1,Trista Sutter,0.16007900540261494,0.16852778226257603
1,1,Kelly Monaco,0.15791432473126035,0.18318775177248556
1,2,John O'Hurley,0.2064720088854027,0.20235747060003217
1,2,Rachel Hunter,0.21207187835137883,0.21731350456586637
1,2,Joey McIntyre,0.18729008075441145,0.19049917341447886
1,2,Evander Holyfield,0.17293592230423674,0.1883214402699954
1,2,Trista Sutter,0.029583463571195057,0.03928477657233727
1,2,Kelly Monaco,0.19164664613337531,0.19505273816634056
1,3,John O'Hurley,0.21975450806400318,0.21656697668278427
1,3,Rachel Hunter,0.2479008125488527,0.23702380807370685
1,3,Joey McIntyre,0.22279131734744417,0.2075799523803814
1,3,Evander Holyfield,0.03725090454281494,0.05444552233020485
1,3,Trista Sutter,0.01910668313637659,0.062140411077990586
1,3,Kelly Monaco,0.25319577436050794,0.20540103432507292
1,4,John O'Hurley,0.118439333839159,0.08754235828066474
1,4,Rachel Hunter,0.01580514519842286,0.030115844496613017
1,4,Joey McIntyre,0.22098852274113695,0.12468392741646873
1,4,Evander Holyfield,0.1920694712320464,0.20051714081557756
1,4,Trista Sutter,0.2773390355061687,0.2614371372177335
1,4,Kelly Monaco,0.175358491483066,0.16976133125909842
1,5,John O'Hurley,0.21123824191386373,0.1800488803552348
1,5,Rachel Hunter,0.009223049912352064,0.038383220886125315
1,5,Joey McIntyre,0.23122402713376047,0.18910443515216144
1,5,Evander Holyfield,0.13477436861173625,0.1884043535627827
1,5,Trista Sutter,0.19702234869584073,0.24237124109505184
1,5,Kelly Monaco,0.21651796373244714,0.2018843358198186
1,6,John O'Hurley,0.2905743742304171,0.21969040956796193
1,6,Rachel Hunter,0.005073098219800768,0.03170954499473964
1,6,Joey McIntyre,0.16429060117997515,0.19962165625763437
1,6,Evander Holyfield,0.093644243349207,0.16994401650922644
1,6,Trista Sutter,0.14438818675833406,0.21340717372228443
1,6,Kelly Monaco,0.302029496262266,0.2285488364508802
2,1,Drew Lachey,0.10303264835760463,0.13345268735633586
2,1,Tatum O'Neal,0.10434195632783533,0.13621712828770982
2,1,Giselle Fernandez,0.11638426976367525,0.14464238385267172
2,1,Stacy Keibler,0.10784427518648909,0.13248884907854674
2,1,Jerry Rice,0.11065475706522651,0.14300537438173666
2,1,Tia Carrere,0.11533538767458813,0.1371159469236621
2,1,Lisa Rinna,0.12263969588062706,0.14241424943280945
2,1,George Hamilton,0.10117856872712931,0.1291336835138368
2,1,Kenny Mayne,0.012342807637675302,0.020597001663779667
2,1,Master P,0.10624563337914912,0.13586297448850795
